replay,seed,swap,shop1,shop2,me_cash,opp_cash,error
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90029970-replay.py,964751057,1,FARMERS_MARKET,PET_CAFE,154673.0,15446.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109187922-replay.py,1000097386,0,PET_CAFE,BAKERY,69544.0,69804.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109187922-replay.py,1000097386,1,PET_CAFE,BAKERY,69544.0,69804.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90047030-replay.py,1005133706,0,BAKERY,ICE_CREAM_SHOP,155069.0,10692.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90047030-replay.py,1005133706,1,BAKERY,ICE_CREAM_SHOP,155069.0,10692.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109187474-replay.py,1012752608,0,FARMERS_MARKET,BAKERY,74212.0,78596.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109187474-replay.py,1012752608,1,FARMERS_MARKET,BAKERY,74212.0,78596.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186828-replay.py,1049411848,0,SMOOTHIE_SHOP,ICE_CREAM_SHOP,138384.0,141591.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186828-replay.py,1049411848,1,SMOOTHIE_SHOP,ICE_CREAM_SHOP,138384.0,141591.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90097349-replay.py,1052406098,0,PIZZA_SHOP,PET_CAFE,137629.0,7817.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90097349-replay.py,1052406098,1,PIZZA_SHOP,FARMERS_MARKET,196852.0,20874.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90012831-replay.py,1085832047,0,ICE_CREAM_SHOP,BAKERY,168200.0,14814.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90012831-replay.py,1085832047,1,ICE_CREAM_SHOP,BAKERY,168200.0,14814.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181599-replay.py,1109591667,0,BRUNCH_SPOT,PIZZA_SHOP,74687.0,76248.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181599-replay.py,1109591667,1,BRUNCH_SPOT,PIZZA_SHOP,74687.0,76248.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997856-replay.py,1112114540,0,ICE_CREAM_SHOP,SMOOTHIE_SHOP,195503.0,22947.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997856-replay.py,1112114540,1,ICE_CREAM_SHOP,SMOOTHIE_SHOP,195503.0,22947.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90162362-replay.py,1114429682,0,YARN_STORE,ICE_CREAM_SHOP,152865.0,33191.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90162362-replay.py,1114429682,1,YARN_STORE,ICE_CREAM_SHOP,152865.0,33191.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89998518-replay.py,1129571127,0,BRUNCH_SPOT,BAKERY,134274.0,4611.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89998518-replay.py,1129571127,1,BRUNCH_SPOT,BAKERY,134274.0,4611.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181465-replay.py,1131434582,0,PET_CAFE,YARN_STORE,109003.0,75913.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181465-replay.py,1131434582,1,PET_CAFE,YARN_STORE,82632.0,81669.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186840-replay.py,1141361760,0,PIZZA_SHOP,SMOOTHIE_SHOP,122860.0,132671.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186840-replay.py,1141361760,1,PIZZA_SHOP,SMOOTHIE_SHOP,122860.0,132671.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186782-replay.py,1142496902,0,BRUNCH_SPOT,SMOOTHIE_SHOP,77308.0,77439.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186782-replay.py,1142496902,1,BRUNCH_SPOT,SMOOTHIE_SHOP,77308.0,77439.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186829-replay.py,1146435785,0,ICE_CREAM_SHOP,PIZZA_SHOP,109812.0,111223.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109186829-replay.py,1146435785,1,ICE_CREAM_SHOP,PIZZA_SHOP,109812.0,111223.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90160967-replay.py,1204861682,0,PIZZA_SHOP,YARN_STORE,167529.0,70367.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90160967-replay.py,1204861682,1,PIZZA_SHOP,YARN_STORE,167529.0,70367.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90161674-replay.py,1211850613,0,SMOOTHIE_SHOP,FARMERS_MARKET,160147.0,13252.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90161674-replay.py,1211850613,1,SMOOTHIE_SHOP,FARMERS_MARKET,165058.0,13955.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109176207-replay.py,1275568782,0,ICE_CREAM_SHOP,PET_CAFE,88141.0,84521.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109176207-replay.py,1275568782,1,ICE_CREAM_SHOP,PET_CAFE,88141.0,84521.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90123951-replay.py,1317265050,0,YARN_STORE,BRUNCH_SPOT,195864.0,16955.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90123951-replay.py,1317265050,1,YARN_STORE,BRUNCH_SPOT,195864.0,16955.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90031933-replay.py,1335140182,0,ICE_CREAM_SHOP,BRUNCH_SPOT,112974.0,69798.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90031933-replay.py,1335140182,1,ICE_CREAM_SHOP,BRUNCH_SPOT,112974.0,69798.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181462-replay.py,1335695867,0,SMOOTHIE_SHOP,FARMERS_MARKET,139173.0,153653.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181462-replay.py,1335695867,1,SMOOTHIE_SHOP,FARMERS_MARKET,139173.0,153653.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90035445-replay.py,1340471539,0,PET_CAFE,FARMERS_MARKET,169097.0,7224.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90035445-replay.py,1340471539,1,PET_CAFE,FARMERS_MARKET,169097.0,7224.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997861-replay.py,1365737885,0,YARN_STORE,PET_CAFE,138050.0,5326.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-89997861-replay.py,1365737885,1,YARN_STORE,PIZZA_SHOP,141625.0,9907.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90000478-replay.py,1388759381,0,YARN_STORE,PIZZA_SHOP,147817.0,34877.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90000478-replay.py,1388759381,1,YARN_STORE,PIZZA_SHOP,147817.0,34877.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90093972-replay.py,1393853736,0,YARN_STORE,YARN_STORE,186847.0,24109.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90093972-replay.py,1393853736,1,YARN_STORE,YARN_STORE,186847.0,24109.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90163724-replay.py,1413111761,0,SMOOTHIE_SHOP,PET_CAFE,149182.0,20940.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90163724-replay.py,1413111761,1,SMOOTHIE_SHOP,PET_CAFE,149182.0,20940.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109179526-replay.py,1431549316,0,BAKERY,BRUNCH_SPOT,91475.0,72707.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109179526-replay.py,1431549316,1,BAKERY,BRUNCH_SPOT,91475.0,72707.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183606-replay.py,1466600942,0,YARN_STORE,BRUNCH_SPOT,117578.0,99057.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183606-replay.py,1466600942,1,YARN_STORE,BRUNCH_SPOT,65692.0,76134.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184335-replay.py,1466819152,0,SMOOTHIE_SHOP,ICE_CREAM_SHOP,160579.0,181569.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184335-replay.py,1466819152,1,SMOOTHIE_SHOP,ICE_CREAM_SHOP,160579.0,181569.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90115082-replay.py,1468188810,0,BAKERY,ICE_CREAM_SHOP,137232.0,4491.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90115082-replay.py,1468188810,1,BAKERY,ICE_CREAM_SHOP,137232.0,4491.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181486-replay.py,1472865590,0,PIZZA_SHOP,YARN_STORE,96771.0,109570.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109181486-replay.py,1472865590,1,PIZZA_SHOP,YARN_STORE,96771.0,109570.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183604-replay.py,1488796968,0,SMOOTHIE_SHOP,PIZZA_SHOP,134828.0,78655.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109183604-replay.py,1488796968,1,SMOOTHIE_SHOP,PIZZA_SHOP,134828.0,78655.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182060-replay.py,1495928904,0,PET_CAFE,PIZZA_SHOP,84052.0,87014.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109182060-replay.py,1495928904,1,PET_CAFE,PIZZA_SHOP,84052.0,87014.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90079699-replay.py,1537227343,0,YARN_STORE,PIZZA_SHOP,187374.0,34301.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-90079699-replay.py,1537227343,1,YARN_STORE,PIZZA_SHOP,187374.0,34301.0,
/Users/eakin/Projects/ergousha/kaggriculture/logs/_v052_refit/opp_episode-109184595-replay.py,1539450172,0,BAKERY,BRUNCH_SPOT,80656.0,74693.0,
